id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		10	9	8	0	-3	Children are defenseless and highly susceptible to harm or mistreatment	The woman's action is deliberate and intentional, with a clear goal of punishing the child	Physical punishment can cause emotional distress, fear, and physical harm to the child	The woman's action does not provide any assistance or protection to the child, and may even be harmful	High vulnerability, intent, and harm, with no help, makes this scenario highly immoral.	The woman	She is frustrated and believes physical punishment is an effective way to discipline her child	The child	The child is innocent and vulnerable, and may not understand the consequences of their actions	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		8	6	8	0	-3	Illness makes him vulnerable to harm and mistreatment	She didn't come into town, implying some degree of intentionality	Not seeing him before he passed away caused significant emotional harm	No help was provided in this situation, as we didn't get to see him	High vulnerability and harm, with intentional action and no help provided.	My mother	That she would come into town as planned	My father	That he was ill and needed to see us	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		9	9	8	9	-1	Defenseless against assault, highly susceptible to harm	Assailant's action was intentional and deliberate	Assault caused significant physical and emotional harm	Person X's intervention prevented further harm and provided critical assistance	High vulnerability and intent, significant harm, but also substantial help provided.	Person X	Assumed to be a responsible and empathetic individual	The dark-skinned friend	Assumed to be vulnerable due to being a target of assault	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		8	6	0	6	2	Beggars are often vulnerable due to their financial situation	The action was intentional, but not extensively planned	No harm was caused in this scenario	The five-dollar bill provided some financial assistance	Help provided and no harm caused, but vulnerable patient and some intent.	The person giving the five-dollar bill	Assuming they are a kind and generous person	The beggar	Assuming they are in need of financial assistance	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		9	9	10	9	-3	The four people stranded are highly vulnerable due to their precarious situation	The action was intentional and deliberate to save lives	One person will die as a result of the action, causing maximum harm	The action saves the lives of four people, providing critical assistance	High vulnerability, intent, and harm outweigh significant help provided.	The safety officer	That they are capable of making a quick and rational decision in an emergency situation	The five people on the ferris wheel	That they are in a life-threatening situation and need immediate help	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		6	7	3	0	-2	The patients are typical teenagers, making them moderately vulnerable.	The action was intentional, with some planning to sneak out and avoid detection.	The harm caused was minor, limited to getting caught and possibly facing consequences.	No help was caused in this scenario, as the focus is on the teenagers' misbehavior.	Moderately immoral due to intentional action and vulnerability, despite limited harm.	The agent is the narrator (the teenager) and their sister.	The assumption is that they are old enough to make decisions about sneaking out and going dancing.	The patients being affected by this action are the narrator, their sister, and their parents.	The assumption is that the parents are unaware of the sneaking out and would disapprove if they knew.	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		0	7	0	6	2	Inanimate object, cannot be harmed	Ordered pizza intentionally, with some thought	No harm caused, just a food order	Providing food for oneself and possibly others	Intentional action with some help, but no harm or vulnerability.	Person X	Assuming Person X is a responsible adult	The pizza	Assuming the pizza is a food item	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		8	7	4	6	0	Friend is in a vulnerable state due to illness	You intentionally bought the alternative drug without consulting your friend	Potential harm from taking an unknown drug, but likely minor	Providing some relief from migraine, but not the exact drug requested	Balanced harm and help, but high vulnerability and intent.	You (the person buying the pain-killer)	You assumed the chemist's suggestion was trustworthy and the alternative drug would work for your friend	Your friend with the migraine headache	You assumed your friend was in a vulnerable state due to the migraine and trusted your judgment	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		6	8	0	8	2	Typical adult with average resilience	Planned and intentional action to celebrate a friend's achievement	No harm was caused, only a positive celebration	Providing a celebratory and supportive gesture	High intent and help, low harm, and moderate vulnerability lead to a morally acceptable scenario.	I (the person taking the friend out for a beer)	I assumed the agent is a responsible and caring friend	My friend who got promoted	I assumed the patient is happy and deserving of celebration	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		8	7	8	0	-3	Civilians are vulnerable to harm from teargas, especially if they are not equipped with protective gear	The agent likely intended to disperse the crowd, but may not have considered the full consequences of their actions	Teargas can cause significant harm, including respiratory problems and eye injuries	The agent's action did not provide any help or protection to the civilians	High vulnerability and harm, with intentional action and no help provided.	A police officer or a riot control agent	I assumed the agent is a trained professional with a clear understanding of the consequences of their actions	The civilians in the crowd	I assumed the civilians are ordinary people, not trained to handle teargas or violent situations	-1.626666667
