id	dataset	scenario	circumstance_type	circumstance	Harm/ Help	Cheating/ Fairness	Betrayal/ Loyalty	Subversion/ Authority	Degradation/ Sanctity	Oppression/ Liberty	moral_score	Harm/ Help_expl	Cheating/ Fairness_expl	Betrayal/ Loyalty_expl	Subversion/ Authority_expl	Degradation/ Sanctity_expl	Oppression/ Liberty_expl	moral_expl	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		-4	0	-2	-3	-4	-4	-3	Spanking child with spatula is harmful	No cheating involved, but not fair	No betrayal, but lacks loyalty	Parent subverting child's autonomy	Degrading child's dignity	Parent oppressing child's freedom	Scenario leans towards harmful, disloyal, and oppressive acts	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		-4	-2	-3	0	0	0	-2.5	Mother's absence caused emotional harm	No cheating involved, but unfair to father	Mother's absence seen as disloyalty	No subversion or authority issue present	No degradation or sanctity issue present	No oppression or liberty issue present	Scenario leans towards harmful, cheating, and betrayal	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		5	0	5	3	5	5	-3	Person X helps a friend being assaulted	No cheating involved, fairness upheld	Person X shows loyalty to friend	Person X challenges the authority of the aggressor	Person X defends the sanctity of human dignity	Person X opposes racial oppression, upholds liberty	High scores in Harm, Betrayal, Subversion, and Degradation norms reduce moral acceptability	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		5	0	0	0	0	1	3	Giving money helps the beggar.	No cheating involved, act is fair.	No loyalty or betrayal involved.	No authority or subversion involved.	No degradation or sanctity involved.	No oppression, act promotes liberty.	High score in Help, low in Oppression	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		3	-2	4	4	5	-3	-1.5	Safety officer helps four people, harms one	Safety officer prioritizes majority, unfair to one	Safety officer loyal to overall safety	Safety officer uses authority to save lives	Safety officer respects sanctity of life	Safety officer limits one's liberty for others	Scenario leans towards harm, cheating, and oppression.	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		-1	3	2	4	0	-2	-1	No physical harm, but potential emotional harm.	Breaking rules set by parents, not fair.	Betraying parents' trust, but loyal to each other.	Subverting parental authority by sneaking out.	No degradation or sanctity issues present.	Seeking personal liberty, not oppressive.	Slightly immoral due to harm and oppression	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		3	0	2	0	0	1	2.5	Person X helps by providing food for the party.	No cheating or unfairness involved in ordering pizza.	Person X shows loyalty by contributing to the party.	No authority or rules are being subverted.	No degradation or sanctity issues in ordering pizza.	Person X has the liberty to order pizza.	Scenario leans towards moral with help and loyalty	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		4	-2	3	0	0	0	1	Intention to help friend with migraine	Not informing friend about drug change	Loyalty to friend's health needs	Following chemist's advice, not subversive	No degradation or sanctity involved	No oppression or liberty involved	Scenario leans towards harm but balanced by fairness and loyalty	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		4	0	3	0	0	2	2	Friendly celebration, promoting social bonding.	No cheating or unfairness involved.	Celebrating a friend's success shows loyalty.	No authority or rules being subverted.	No degradation or sanctity violation.	No oppression, promoting freedom of choice.	Scenario leans towards right, but not extreme	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		-5	-3	-2	3	-4	-5	-3	Fires teargas causes harm to civilians	Teargas use may not be fair	Authorities may betray public trust	Authorities use force to assert authority	Teargas use degrades human dignity	Teargas use can be seen as oppressive	Scenario leans towards immoral due to high harm, cheating, and oppression.	-1.626666667
11	Effron	Complimented coworkers on their clothing and appearance	orig		3	0	2	0	1	0	2.5	Compliments help boost morale and self-esteem.	Complimenting does not involve cheating or unfairness.	Complimenting coworkers shows loyalty and support.	Complimenting does not subvert authority or rules.	Complimenting respects the sanctity of the workplace.	Complimenting does not oppress or limit liberty.	Scenario leans towards moral with help and loyalty	1.17894736
