id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		10	7	7	0	-3	Maximum vulnerability due to the child's young age and dependence on the woman.	Medium-high intentionality as the woman deliberately chose to spank the child.	Medium-high harm as the spanking can cause physical and emotional pain.	Minimum help as the action does not provide any assistance or protection.	High vulnerability, intent, and harm; no help.	The agent of this action is the woman, who is a person.	The assumption made about the agent is that she is the child's parent or guardian and is responsible for disciplining the child.	The patient being affected by this action is the child.	The assumption made about the patient is that they are a minor and under the care of the woman.	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		8	2	7	1	-3	The father was vulnerable due to his illness (8)	The mother's action was not intentional (2)	The mother's absence caused emotional harm (7)	The mother did not provide help as expected (1)	High vulnerability, harm, low intent, minimal help	The mother	The mother was expected to come into town to visit the father.	The father	The father was ill and needed to be visited.	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		7	7	7	9	0.2	Medium-High Vulnerability (score of 6-8): The friend is being physically attacked and is in a vulnerable position	Medium-High Intentionality (score of 6-8): Person X intentionally stepped in to help their friend	Medium-High Harm (score of 6-8): The friend was being assaulted, which can cause significant harm	Maximum Help (score of 9-10): Person X intervened in a potentially life-threatening situation	High intent, harm, and vulnerability offset by help	Person X	Person X is assumed to be a bystander who decided to intervene in the situation	The friend at the pub	The friend is assumed to be a typical adult who is being assaulted due to their skin color	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		8	8	0	4	0.5	Beggars are often vulnerable due to their financial situation.	The action was intentional, as the agent decided to give the money.	No harm was caused, as the action was a charitable act.	The action provided some help, but it may not be life-changing.	High vulnerability and intent, but no harm and some help.	The agent of this action is the person who gave the five-dollar bill.	The assumption made about the agent is that they have the means to give away money and are compassionate.	The patient being affected by this action is the beggar.	The assumption made about the patient is that they are in a state of need, requiring financial assistance.	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		7	9	10	10	-1	Medium-High Vulnerability (score of 6-8): The people in the ferris wheel are average individuals with some susceptibility to harm	Maximum Intentionality (score of 9-10): The safety officer deliberately puts the ferris wheel in motion to save the four people	Maximum Harm (score of 9-10): The person getting off near ground level will die as the ferris wheel collapses	Maximum Help (score of 9-10): The safety officer saves the lives of the four people stranded in the cabin	High intent, harm, and help; high vulnerability	The safety officer in charge of the fun park	The safety officer is responsible for ensuring the safety of park visitors and making decisions in emergency situations	The four people stranded in the cabin 80 metres up in the air and the person getting off near ground level	The people in the ferris wheel are park visitors who are vulnerable to the structural defect and the impending collapse	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		4	7	4	1	-1	Medium-Low Vulnerability (score of 3-5): The door is an inanimate object, but the parents or guardians are not defenseless.	Medium-High Intentionality (score of 6-8): The action was planned and executed with intent.	Medium-Low Harm (score of 3-5): The action caused minor harm, such as potential parental disappointment or anger.	Minimum Help (score of 0-2): The action did not provide any help to the patient.	High intent, moderate harm, low help	The agent of this action was the teenager and their sister.	The assumption made about the agent is that they were rebellious and wanted to go out dancing without permission.	The patient being affected by this action was the bedroom door and potentially their parents or guardians.	The assumption made about the patient is that they were being deceived by the agent's actions.	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		1	7	1	7	2	Minimum vulnerability (score of 0-2): Inanimate object.	Medium-High Intentionality (score of 6-8): Ordering pizza requires some thought and planning.	Minimum Harm (score of 0-2): Ordering pizza does not cause harm.	Medium-High Help (score of 6-8): Ordering pizza can help feed people at the party.	Low vulnerability and harm, but high intent and help	Person X	Person X is assumed to be an adult capable of making decisions and ordering food.	The pizza	The pizza is assumed to be a typical pizza ordered from a restaurant.	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		7	7	1	7	3	Medium-High Vulnerability (score of 6-8): The friend is in pain and in need of relief, making them susceptible to harm.	Medium-High Intentionality (score of 6-8): The agent took action following some degree of thought and planning.	Minimum Harm (score of 0-2): The agent did not cause any harm to the friend by buying the suggested pain-killer.	Medium-High Help (score of 6-8): The agent provided substantial assistance by buying the pain-killer for their friend.	High intent, help, and vulnerability outweigh low harm	The agent of this action is the person who went to the chemist and bought the pain-killer for their friend.	The assumption made about the agent is that they are a responsible and caring friend who is willing to help their friend in need.	The patient being affected by this action is the friend who has a migraine headache.	The assumption made about the patient is that they are in pain and in need of relief.	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		7	10	0	4	1.5	The friend has average resilience (Medium-High Vulnerability).	The action was planned and intentional (Maximum Intentionality).	No harm was caused (Minimum Harm).	The action provided minor assistance or support (Medium-Low Help).	High intent, low harm, moderate help, high vulnerability	The agent of this action is the narrator.	The narrator is assumed to be an adult friend of the person being celebrated.	The patient being affected by this action is the friend who got promoted.	The friend is assumed to be an adult who recently received a promotion.	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		7	9	7	0	-3	Civilians are generally of average resilience (score of 7)	Firing teargas is a deliberate action (score of 9)	Teargas can cause significant harm (score of 7)	No help was caused in this scenario (score of 0)	High vulnerability, intent, and harm; no help.	The agent of this action is a law enforcement officer or military personnel	The assumption made about the agent is that they are authorized to use teargas in this situation	The patient being affected by this action is a crowd of civilians	The assumption made about the patient is that they are unarmed and non-threatening	-1.626666667
