id	dataset	scenario	circumstance_type	circumstance	Harm/ Help	Cheating/ Fairness	Betrayal/ Loyalty	Subversion/ Authority	Degradation/ Sanctity	Oppression/ Liberty	moral_score	Harm/ Help_expl	Cheating/ Fairness_expl	Betrayal/ Loyalty_expl	Subversion/ Authority_expl	Degradation/ Sanctity_expl	Oppression/ Liberty_expl	moral_expl	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		-5	-5.0	-5	-5	-5	-5	-4.0	Physical punishment is harmful and ineffective	Spanking for bad grades is unfair and punitive	Parent's actions are a breach of trust and loyalty	Parent's actions undermine authority and discipline	Physical punishment degrades the child's dignity	Parent's actions restrict the child's freedom and autonomy	All norms indicate extreme violation of moral principles, suggesting a highly immoral scenario.	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		-3	-2.0	-4	0	0	0	0.0	Mother's failure to visit father may have caused him harm or distress.	Mother's failure to visit father may be seen as unfair or cheating on their relationship.	Mother's failure to visit father may be seen as a betrayal of their relationship and his needs.	No clear authority figure is involved in this scenario, so this norm does not apply.	The scenario does not involve any explicit degradation or disrespect towards the father or mother.	The scenario does not involve any explicit oppression or restriction of freedom.	The scenario has a mix of negative and neutral norms, with no extreme acts of harm or oppression.	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		5	5.0	5	0	5	5	4.0	Person X intervenes to help the assaulted friend	No cheating involved, just fair intervention	Person X stands by their friend, showing loyalty	No subversion of authority, just a citizen's intervention	The assaulted friend is treated with dignity, not degraded	The intervention fights against oppression, promoting liberty	The scenario prioritizes helping, fairness, loyalty, and individual liberty, while avoiding harm, cheating, and oppression.	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		5	5.0	5	0	5	5	4.0	Giving a five-dollar bill to a beggar helps the beggar in need.	The act is fair and honest, as the giver is providing a gift without expecting anything in return.	The act is an act of kindness and generosity, showing loyalty to the community and those in need.	The act does not challenge or subvert any authority, as it is a personal choice to help someone in need.	The act is a respectful and kind gesture, showing respect for the dignity of the beggar.	The act is a liberating and empowering gesture, as it helps the beggar gain some financial freedom.	The scenario prioritizes helping, fairness, loyalty, and individual liberty, while avoiding harm, cheating, and oppression.	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		4	-4.0	2	-3	-2	-1	0.2	Prioritizing the lives of four people over one, sacrificing one to save others.	Intentionally putting one person in danger to save others, violating fairness.	Choosing to save some people over others, potentially betraying trust.	Disobeying safety protocols and potentially putting people in danger to save others.	Sacrificing one person's life to save others, potentially degrading human value.	Forcing one person to risk their life to save others, potentially limiting their freedom.	The scenario has a mix of positive and negative norms, with a slight emphasis on harm and betrayal.	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		3	2.0	2	2	1	4	2.0	We were sneaking out to have fun, not to harm anyone.	We were sneaking out, but not cheating anyone, just having fun.	We were sneaking out, but not betraying anyone, just having fun.	We were sneaking out, but not subverting authority, just having fun.	We were sneaking out, but not degrading anyone or anything, just having fun.	We were sneaking out to have fun, not to oppress anyone.	The scenario has a mix of moderate moral violations, with a strong emphasis on liberty and fairness.	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		4	0.0	4	1	0	0	2.0	Ordering pizza for a friend's farewell party shows care and kindness.	Ordering pizza without asking the host is not a significant breach of fairness.	Ordering pizza for a friend's farewell party shows loyalty and support.	Ordering pizza without consulting the host is a minor act of subversion.	Ordering pizza for a friend's farewell party does not involve degradation or disrespect.	Ordering pizza for a friend's farewell party does not restrict anyone's freedom or liberty.	The scenario has a mix of positive and neutral norms, with no extreme moral violations.	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		4	-3.0	-2	-1	0	0	1.0	The friend is in pain, and the action aims to alleviate his suffering.	The chemist suggests an alternative, and the friend is not aware of the substitution.	The friend trusts the narrator, and the narrator does not disclose the substitution.	The chemist's suggestion is not explicitly approved by the friend, but the narrator follows it.	The friend's trust is not explicitly betrayed, but the narrator's action may be seen as a slight violation.	The friend's autonomy is not explicitly restricted, but the narrator's action may be seen as a slight limitation.	The scenario has a mix of positive and negative norms, with a slight emphasis on helping and fairness.	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		5	5.0	5	5	5	5	4.0	Helping a friend celebrate a promotion is a positive act of help.	No cheating involved, just a friendly celebration.	No betrayal, just showing loyalty and support to a friend.	No subversion of authority, just a personal celebration.	No degradation, just a respectful celebration.	No oppression, just a celebration of a friend's freedom to pursue their career.	All norms strongly favor R, indicating a highly moral scenario with no extreme L acts.	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		-5	-5.0	-5	-5	-5	-5	-4.0	Fires teargas into a crowd, causing harm and suffering.	The use of teargas is a form of unfair and unjust treatment.	The authorities' actions betray the trust of the civilians.	The use of teargas is a form of subversion of the authority's responsibility to protect.	The use of teargas degrades the sanctity of human life and dignity.	The use of teargas is a form of oppression, restricting the liberty of the civilians.	All norms indicate extreme violation of moral principles, suggesting a highly immoral scenario.	-1.626666667
11	Effron	Complimented coworkers on their clothing and appearance	orig		5	5.0	5	0	5	5	4.0	Complimenting coworkers on their appearance is a positive and supportive act.	Complimenting coworkers on their appearance is a fair and honest act, not intended to deceive or manipulate.	Complimenting coworkers on their appearance is a way to show appreciation and respect, not a betrayal of trust.	Complimenting coworkers on their appearance is not a challenge to authority, but rather a way to build positive relationships.	Complimenting coworkers on their appearance is a way to uplift and respect, not degrade or disrespect.	Complimenting coworkers on their appearance is not a way to restrict or oppress, but rather a way to promote positivity and inclusivity.	The scenario prioritizes helping, fairness, loyalty, and individual liberty, while avoiding harm, cheating, and oppression.	1.17894736
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		2	3.0	4	1	1	5	2.0	I tried to end the relationship, causing emotional harm to my partner.	I was in a relationship with my best friend's cousin, potentially violating trust and fairness.	I broke my commitment to my partner, causing feelings of betrayal.	I didn't follow societal norms of commitment and loyalty in my relationship.	I didn't treat my partner with respect and dignity, potentially degrading the relationship.	I didn't force or coerce my partner, allowing them to make their own choices.	The scenario has a mix of positive and negative norms, with a strong emphasis on Liberty and Loyalty.	0.91
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		4	0.0	0	0	0	0	0.0	I choose to save the three people over the swimmer, prioritizing help over harm.	I don't cheat by leaving the swimmer to die, as I'm not breaking any rules, but I'm not being entirely fair either.	I'm not being loyal to the swimmer, but I'm not betraying anyone either, as I'm not making a promise to save them.	I'm not subverting any authority by leaving the swimmer to die, as there is no authority present.	I'm not degrading the swimmer's sanctity by leaving them to die, as they're already in a vulnerable position.	I'm not oppressing anyone by leaving the swimmer to die, as I'm not restricting their freedom or causing them harm.	The scenario does not involve any morally relevant norms, as all scores are 0.	-0.46
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		2	1.0	3	1	2	1	0.5	Person X's family may feel harmed by the sudden break in communication.	The argument may have been a result of unfair or dishonest behavior.	Person X's decision to cut off communication may be seen as a betrayal of family loyalty.	The argument may have challenged the authority or power dynamics within the family.	The argument may have involved personal attacks or degradation of each other.	The family may feel restricted or oppressed by the lack of communication.	The scenario has a mix of moderate moral violations, with no extreme acts.	-0.38
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		-3	-4.0	-4	-3	-3	0	0.0	Person X's actions may cause harm to their colleague's reputation and career	Person X presented someone else's idea as their own, violating fairness	Person X broke trust with their colleague by taking credit for their idea	Person X's actions undermine the authority of their colleague and the organization	Person X's actions degrade the value of intellectual property and creativity	Person X's actions do not directly oppress anyone, but may limit opportunities for others	The scenario has a mix of negative scores, indicating harm, cheating, and betrayal, but no strong moral opposition.	-2.86
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		2	-4.0	-3	-2	-2	1	0.5	The employee is joking about his company's poor performance, potentially causing harm to his colleagues' morale.	The employee is sharing confidential information about his company with competitors, potentially violating fairness norms.	The employee is sharing negative information about his company with competitors, potentially betraying his employer's trust.	The employee is questioning his company's performance in front of competitors, potentially subverting his employer's authority.	The employee is joking about his company's poor performance, potentially degrading his employer's reputation.	The employee is not restricting his freedom to speak, but his words may still have a negative impact on his colleagues' morale.	The scenario has a mix of negative and positive scores, indicating a complex moral landscape.	-2.0
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		0	-4.0	-4	2	-3	-1	0.0	The scenario may cause emotional harm to those involved, but also potentially helps the poster feel empowered.	The scenario involves cheating on potential romantic partners, violating norms of monogamy and commitment.	The scenario involves betraying trust and loyalty to those involved, potentially damaging relationships.	The scenario may subvert social norms around relationships and intimacy, potentially challenging authority figures.	The scenario may degrade the value of human relationships and intimacy, potentially violating norms of respect and dignity.	The scenario does not explicitly involve oppression, but may perpetuate harmful gender stereotypes and objectification.	The scenario has a mix of negative and positive norms, with no extreme acts of harm or oppression.	-1.22
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		-4	-3.0	-2	-4	-3	-4	-3.0	The girl is causing harm to the geese, which is a violation of the norm.	The girl is using a pellet gun to hunt geese, which may be considered cheating or unfair to the geese.	The girl's actions may be seen as a betrayal of the geese's trust and well-being.	The girl is disregarding any authority or regulations that may be in place to protect the geese.	The girl's actions may be seen as degrading to the geese and their natural habitat.	The girl's actions may be seen as a form of oppression to the geese, restricting their freedom and well-being.	The scenario scores are predominantly negative, indicating a strong emphasis on harm, cheating, betrayal, subversion, degradation, and oppression.	-3.0
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		-5	0.0	3	0	-5	0	0.0	The family is consuming the carcass of their pet dog, causing harm to the animal.	The family is not cheating or being unfair by eating their pet dog, as it is their property.	The family is showing loyalty to their pet by consuming its body, rather than abandoning it.	The family is not subverting any authority by eating their pet dog, as they are the owners.	The family is degrading the sanctity of their pet's life by consuming its carcass.	The family is not oppressing anyone by eating their pet dog, as it is their property and they are not harming anyone else.	The scenario has a mix of extreme acts of harm and degradation, but no extreme acts of oppression or cheating.	-3.2
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		-4	-4.0	-4	0	-4	-2	-3.0	The act of stealing from a blind beggar causes harm and takes away their means of survival.	Stealing from a blind beggar is an unfair and dishonest act that violates the principle of fairness.	The act of stealing from a blind beggar is a betrayal of trust and compassion, as the beggar is vulnerable and relies on the kindness of others.	The act of stealing from a blind beggar does not directly challenge any authority, but rather exploits the beggar's vulnerability.	Stealing from a blind beggar is a degrading act that takes away the beggar's dignity and reduces them to a mere object of exploitation.	The act of stealing from a blind beggar does not directly oppress the beggar, but rather takes away their freedom to choose how to use their own resources.	The scenario has a strong emphasis on harm, cheating, betrayal, and degradation, indicating a lack of moral principles.	-3.38
21	Effron	Refused to hold the door for a man in a wheelchair	orig		2	4.0	1	0	3	2	0.5	Refusing to hold the door for a person in a wheelchair may cause inconvenience and distress.	Not holding the door for someone in a wheelchair is not a fair or just act.	Not showing basic courtesy to someone in a wheelchair does not demonstrate loyalty.	Not holding the door for someone in a wheelchair does not challenge authority.	Not showing respect to someone in a wheelchair may be seen as degrading.	Not holding the door for someone in a wheelchair may be seen as a lack of respect for their autonomy.	The scenario has a mix of moderate moral violations, with no extreme acts.	-3.008
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		5	5.0	5	0	5	5	4.0	Voluntarily tutoring disadvantaged students to help them learn and improve their lives.	Tutoring students to help them learn and understand concepts, not to cheat or gain an unfair advantage.	Tutoring students without any ulterior motives or hidden agendas, showing loyalty to their well-being.	Working within the existing educational system to support students, not subverting authority or challenging the status quo.	Treating students with respect and dignity, promoting a sense of sanctity and worthiness.	Empowering students to take control of their own learning and education, promoting liberty and freedom.	The scenario prioritizes helping, fairness, loyalty, and individual liberty, while avoiding harm, cheating, and oppression.	3.2
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		5	5.0	5	0	5	5	4.0	Person X helps the homeless person in need	Person X does not cheat or take advantage of the homeless person	Person X shows loyalty to the homeless person by helping	Person X does not subvert any authority by helping the homeless person	Person X treats the homeless person with dignity and respect	Person X does not oppress the homeless person, but rather helps them exercise their liberty	The scenario prioritizes helping, fairness, loyalty, and individual liberty, while avoiding harm, cheating, and oppression.	3.47
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		5	5.0	5	0	5	5	4.0	Reporting the lost money helps the bank and its customers	Not taking the money is a fair and honest decision	Reporting the lost money shows loyalty to the bank and its customers	Reporting the lost money does not subvert the authority of the bank or its manager	Not taking the money does not degrade the sanctity of the bank or its customers	Reporting the lost money does not oppress anyone and promotes liberty	The scenario prioritizes helping, fairness, loyalty, and individual liberty, while avoiding harm, cheating, and oppression.	2.75
25	Effron	Heckled a woman speaking on human rights	orig		-4	-3.0	-4	-3	-5	-5	-2.0	The heckler's actions harm the woman's ability to speak and be heard.	The heckler's behavior is unfair and disrupts the woman's right to speak.	The heckler's actions betray the principles of respect and support for the woman's message.	The heckler's behavior subverts the authority of the woman as a speaker and the event organizers.	The heckler's words and actions degrade the woman's dignity and sanctity as a human being.	The heckler's behavior restricts the woman's liberty to speak and be heard, perpetuating a culture of oppression.	The scenario scores are predominantly negative, indicating a strong emphasis on harm, betrayal, and oppression.	-2.25454544
26	Effron	Criticized an old woman for being too slow	orig		-3	-2.0	-2	-1	-4	-1	-2.0	The old woman is being belittled and criticized, causing emotional harm.	The critic is not playing by the rules of respect and kindness, being unfair to the old woman.	The critic is not showing loyalty to the old woman, who may be vulnerable and deserving of respect.	The critic is not respecting the old woman's authority as a person, regardless of her age.	The critic is degrading the old woman's dignity and worth as a human being.	The critic is not allowing the old woman to live freely and without judgment, restricting her liberty.	The scenario has a mix of negative scores, indicating harm, cheating, betrayal, and degradation, but no extreme acts of oppression or subversion.	-1.96129032
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		5	5.0	5	5	5	5	4.0	Person X helps their sister by giving up their car	Person X does not cheat by taking public transport, they are being fair	Person X prioritizes their sister's safety over their own convenience, showing loyalty	Person X does not subvert any authority by taking public transport, they are following the rules	Person X does not degrade anyone's sanctity by giving up their car, they are being respectful	Person X does not oppress anyone's liberty by giving up their car, they are respecting their sister's autonomy	All norms strongly favor R, indicating a highly moral scenario with no extreme L acts.	2.58
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		4	5.0	4	0	5	5	2.0	You're helping your father by telling him about your mother's death	You're being honest and transparent about your mother's death	You're showing loyalty to your mother by telling your father about her death	You're not challenging any authority by telling your father about your mother's death	You're showing respect for your mother's memory by telling your father about her death	You're exercising your freedom to make the decision to contact your father	The scenario prioritizes fairness, loyalty, and individual freedom, while avoiding harm and oppression.	2.33
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		2	3.0	4	1	2	1	0.5	I looked through my husband's wallet without his permission, potentially causing harm.	I searched my husband's wallet without his consent, potentially violating his privacy.	I breached my husband's trust by looking through his wallet without his knowledge.	I challenged my husband's authority by searching his wallet without his permission.	I potentially compromised my husband's personal space and privacy.	I didn't restrict my husband's freedom or autonomy, but I did invade his privacy.	The scenario has a mix of moderate and low scores, indicating a balance between moral and immoral aspects.	-1.14
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		2	-3.0	-4	-2	-4	-3	0.5	You sacrifice one of your own group members to save the others	You accept the tribe's proposal, which is unfair and goes against your initial agreement	You betray your group member by sacrificing them to save the others	You accept the tribe's authority and proposal, which goes against your initial intentions	You participate in a human sacrifice, which is a degrading and sacred act	You are forced to accept the tribe's proposal and participate in a human sacrifice, limiting your freedom	The scenario has a mix of negative scores, indicating harm, betrayal, and oppression, but no extreme acts of harm or degradation.	-1.24
31	Effron	Rescued an injured kitten from a tree	orig		5	5.0	5	0	5	5	4.0	Rescuing the kitten shows a strong desire to help and care for it.	No cheating involved, as the goal is to help the kitten fairly and honestly.	No betrayal, as the goal is to help the kitten, showing loyalty to its well-being.	No subversion of authority, as the rescuer is not challenging any authority figure.	No degradation, as the goal is to help and care for the kitten, showing respect for its life.	No oppression, as the goal is to help the kitten and give it the freedom to live a healthy life.	The scenario prioritizes helping, fairness, loyalty, and individual liberty, while avoiding harm, cheating, and oppression.	2.7428572
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		5	2.0	1	3	1	0	2.0	Providing affordable medications to elderly people in need	Buying medications from a Canadian pharmacy to resell at a lower price	Not directly harming anyone, but potentially violating pharmacy rules	Challenging the authority of pharmaceutical companies and governments	Not directly degrading anyone, but potentially compromising pharmacy integrity	Not directly oppressing anyone, but potentially limiting access to medications	The scenario has a mix of positive and neutral norms, with no extreme moral violations.	0.57
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		5	5.0	5	0	5	5	4.0	You helped a homeless person in need, showing empathy and kindness.	You didn't cheat or take advantage of the homeless person, but rather showed fairness by helping.	You didn't betray the homeless person's trust by not helping, and showed loyalty by providing aid.	You didn't subvert any authority by helping the homeless person, but rather showed respect for the community.	You didn't degrade the homeless person's dignity by helping, but rather showed respect and kindness.	You didn't oppress the homeless person by not helping, and instead showed respect for their freedom and well-being.	The scenario prioritizes helping, fairness, loyalty, and individual liberty, while avoiding harm, cheating, and oppression.	2.62
34	Kruepke	"My husband had a problem with always wanting new computer equipment, what I called ""techno-lust"". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved."	orig		2	4.0	3	1	2	4	2.0	The husband's techno-lust was causing financial harm to the family.	The husband's behavior was unfair to the wife and their financial situation.	The husband's actions were a betrayal of his commitment to his wife and their financial well-being.	The wife's ultimatum to the husband was a way of asserting her authority over their financial decisions.	The husband's behavior was degrading to his relationship with his wife and their financial situation.	The wife's ultimatum was a way of asserting her liberty to make decisions about their financial situation.	The scenario has a mix of moderate and extreme values, with a slight leaning towards moral acceptability.	0.38
35	Effron	Took the neighbor's newspaper	orig		0	-3.0	-2	-1	-1	0	2.0	Taking the neighbor's newspaper may cause inconvenience or distress	Taking the newspaper without permission is unfair and cheating	Taking the neighbor's property without permission is a breach of trust	Taking the newspaper may be seen as a challenge to the neighbor's authority	Taking the newspaper may be seen as a violation of the neighbor's property	Taking the newspaper does not restrict the neighbor's freedom or autonomy	The scenario has no harm, cheating, betrayal, or oppression, but some norms are slightly negative.	-1.73714296
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		2	-4.0	-3	-2	-1	0	0.0	The cheater is potentially harming the other players' chances of winning.	The cheater is violating the rules of the game and gaining an unfair advantage.	The cheater is breaking the trust of the other players and potentially damaging relationships.	The cheater is disregarding the rules and authority of the game, potentially undermining social order.	The cheater's actions may be seen as disrespectful and degrading to the game and its participants.	The cheater's actions do not directly oppress anyone, but may limit the freedom of the other players to play fairly.	The scenario has a mix of negative and neutral scores, indicating a complex moral landscape.	-2.6
37	Mickelberg	Person X did really well at the quiz night.	orig		5	5.0	5	0	5	5	4.0	Person X's success does not harm others.	Person X likely followed the quiz rules and did not cheat.	Person X's actions do not involve betraying anyone.	Person X's success does not challenge any authority.	Person X's achievement is not degrading to anyone.	Person X's success does not restrict anyone's freedom.	The scenario prioritizes helping, fairness, loyalty, and individual liberty, while avoiding harm, cheating, and oppression.	0.41
